,Title,Link,Price,Resource_Type,Upvotes,Keyword,Source,Source_url
0,"Design System, Design Leadership, Design Thinking & DesignOps",https://www.designbetter.co/,Free,Video,5,product-design,hackr,trydesignlab.com
1,Product Design Course by Google,https://www.anrdoezrs.net/links/8752481/type/dlg/https://udacity.com/course/product-design--ud509/,Free,Video,2,product-design,hackr,trydesignlab.com
2,How to Build Habit-Forming Products,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/how-to-build-habit-forming-technology,Paid,Video,1,product-design,hackr,trydesignlab.com
3,User Experience Research and Design Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/michiganux,Paid,Video,1,ux-research,hackr,trydesignlab.com
4,User Research: What It Is And Why You Should Do It,https://www.interaction-design.org/literature/article/user-research-what-it-is-and-why-you-should-do-it,Free,Beginner,2,ux-research,hackr,trydesignlab.com
5,Learn User-Centered Design with UX Research & Strategy        ,http://share.trydesignlab.com/hackriouxsc,Paid,Beginner,1,ux-research,hackr,trydesignlab.com
6,User Research Mastery,http://courses.sarahdoody.com/p/user-research-mastery,Paid,Advanced,+1,ux-research,hackr,trydesignlab.com
7,The Practical Beginner’s Guide to User Research,https://www.uxpin.com/studio/blog/the-practical-beginners-guide-to-user-research/,Free,Beginner,+1,ux-research,hackr,trydesignlab.com
8,How To Conduct User Experience Research Like A Professional,https://careerfoundry.com/en/blog/ux-design/how-to-conduct-user-experience-research-like-a-professional/,Free,Beginner,+1,ux-research,hackr,trydesignlab.com
9,"7 Great, Tried and Tested UX Research Techniques",https://www.interaction-design.org/literature/article/7-great-tried-and-tested-ux-research-techniques,Free,Video,+1,ux-research,hackr,trydesignlab.com
10,User Interface Design Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/user-interface-design,Paid,Video,6,user-interface-design,hackr,trydesignlab.com
11,Create Pixel Perfect Work with UI Design        ,http://share.trydesignlab.com/hackrioui,Paid,Advanced,3,user-interface-design,hackr,trydesignlab.com
12,UI & Web-design for Beginners,https://www.youtube.com/watch?v=QJ9ygdD2sIY,Free,Video,19,user-interface-design,hackr,trydesignlab.com
13,Learn UI Design ,http://learnui.design/,Paid,Video,3,user-interface-design,hackr,trydesignlab.com
14,Material Design,https://material.io/design/,Free,Beginner,3,user-interface-design,hackr,trydesignlab.com
15,Design 101 Course by Design Lab,http://share.trydesignlab.com/hackriodesign101,Paid,Video,2,user-interface-design,hackr,trydesignlab.com
16,Introduction to Web Design and Development,https://linkedin-learning.pxf.io/dAnkk,Paid,Video,1,user-interface-design,hackr,trydesignlab.com
17,Learn UI/UX Design with Abhinav,https://www.youtube.com/playlist?list=PLDtHAiqIa4wa5MBbE_XDoqY51sAkQnkjt,Free,Video,1,user-interface-design,hackr,trydesignlab.com
18,User Interface Design,https://www.javatpoint.com/software-engineering-user-interface-design,Free,Book,1,user-interface-design,hackr,trydesignlab.com
19,The iOS Design Guidelines,https://ivomynttinen.com/blog/ios-design-guidelines,Free,Beginner,1,user-interface-design,hackr,trydesignlab.com
20,Complete Web and Mobile Designer,https://academy.zerotomastery.io/p/complete-web-and-mobile-designer,Paid,Video,+1,user-interface-design,hackr,trydesignlab.com
21,Micro Frontends in Action,https://www.manning.com/books/micro-frontends-in-action?a_aid=hackrio,Paid,Book,+1,user-interface-design,hackr,trydesignlab.com
22,Learn Figma - UI/UX Design Essential Training,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-figma,Paid,Video,6,figma,hackr,trydesignlab.com
23,Figma Tutorials,https://www.youtube.com/watch?v=RFi7wQHUP0c&list=PLXDU_eVOJTx4HJKh8tQkQRtIe5YlP5smB,Free,Video,21,figma,hackr,trydesignlab.com
24,Figma Course ,https://learnux.io/course/figma,Free,Video,5,figma,hackr,trydesignlab.com
25,Figma 101,https://trydesignlab.com/figma-101-course/lessons,Free,Beginner,4,figma,hackr,trydesignlab.com
26,Figma Tips and Tricks,https://webdesign.tutsplus.com/series/figma-tips-and-tricks--cms-1299,Free,Beginner,2,figma,hackr,trydesignlab.com
27,Design System in  Figma,https://designcode.io/design-system-figma,Free,Beginner,2,figma,hackr,trydesignlab.com
28,Figma For Beginners,http://figmaforbeginners.com,Free,Beginner,2,figma,hackr,trydesignlab.com
29,Getting Started - Figma end-to-end,https://www.youtube.com/watch?v=T0kRCTOX0zY,Free,Beginner,1,figma,hackr,trydesignlab.com
30,Become a UX Designer,https://imp.i115008.net/g9bqX,Paid,Video,4,user-experience-design,hackr,trydesignlab.com
31,UX Foundations: Multidevice Design,https://linkedin-learning.pxf.io/7vGm5,Paid,Video,1,user-experience-design,hackr,trydesignlab.com
32,"UX & Web Design Master Course: Strategy, Design, Development",https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/ux-web-design-master-course-strategy-design-development,Paid,Video,3,user-experience-design,hackr,trydesignlab.com
33,UX Academy by Designlab,http://share.trydesignlab.com/hackriouxa,Paid,Beginner,3,user-experience-design,hackr,trydesignlab.com
34,UI / UX Design Specialization,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/ui-ux-design,Paid,Video,2,user-experience-design,hackr,trydesignlab.com
35,Learn How to Become a UX Designer,https://www.uxbeginner.com,Free,Beginner,2,user-experience-design,hackr,trydesignlab.com
36,Fundamentals of UX Design,https://webdesign.tutsplus.com/courses/fundamentals-of-ux-design,Paid,Video,2,user-experience-design,hackr,trydesignlab.com
37,UX Design Course,http://trydesignlab.com/ux-design-course/,Paid,Video,2,user-experience-design,hackr,trydesignlab.com
38,Usability Matters,https://www.manning.com/books/usability-matters?a_aid=hackrio,Paid,Book,1,user-experience-design,hackr,trydesignlab.com
39,UX Design Bootcamp (Job Guaranteed),https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=43438&murl=https://www.springboard.com/workshops/ux-career-track-course/,Beginner,Paid,1,user-experience-design,hackr,trydesignlab.com
40,Effective UX Design ,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/business/effective-ux-design-video,Paid,Video,1,user-experience-design,hackr,trydesignlab.com
41,Hands-On UX Design for Developers,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/web-development/hands-uxui-design-developers,Paid,Book,1,user-experience-design,hackr,trydesignlab.com
