,Title,Link,Price,Resource_Type,Upvotes,Keyword,Source,Source_url
0,What every product designer should take away from Lyft’s new UI,https://uxdesign.cc/what-every-product-designer-should-take-away-from-lyfts-new-ui-742c9668b067?source=search_post---------0,Free,article,43K,product design,medium,Theo Strauss
1,Use this exercise to solve any Product Design Challenge,https://medium.com/@ericeriksson/what-is-product-design-9709572cb3ff?source=search_post---------1,Free,article,18.3K,product design,medium,UX Collective
2,If Screen Product Designers Designed Physical Products,https://medium.muz.li/a-super-simple-exercise-for-solving-almost-any-product-design-challenge-f9e6c0019d7d?source=search_post---------2,Free,article,14.7K,product design,medium,eric eriksson
3,"Here’s everything I’ve learned from designing 10,000+ UI screens as a lead product designer.",https://thedesignteam.io/if-screen-product-designers-designed-physical-products-10cdd3ac4fdc?source=search_post---------3,Free,article,23K,product design,medium,Jonathan Courtney
4,Intro To Product Design,https://medium.com/ux-power-tools/heres-everything-i-ve-learned-from-designing-10-000-ui-screens-as-a-lead-product-designer-7d2810bee810?source=search_post---------4,Free,article,23K,product design,medium,Muzli - Design Inspiration
5,Product Design Exercises We Use At WeWork Interviews,https://medium.com/hh-design/intro-to-product-design-c2dbbc7809d3?source=search_post---------5,Free,article,4K,product design,medium,Pablo Stanley
6,Product Design: Expectations vs Reality,https://blog.prototypr.io/product-design-exercises-we-use-at-wework-interviews-2ee1f5a57319?source=search_post---------6,Free,article,6.2K,product design,medium,The Design Team
7,The great balloon of User Experience: from UX to Product Design,https://uxplanet.org/product-design-expectations-vs-reality-2e5b24473dc5?source=search_post---------7,Free,article,10.4K,product design,medium,Jon Moore
0,How to Stop UX Research being a Blocker,https://medium.com/beakerandflint/how-to-stop-ux-research-being-a-blocker-225d91105de8?source=search_post---------0,Free,article,14.9K,ux research,medium,Ben Ralph
1,How to wow me with your UX research portfolio,https://medium.com/@userfocus/how-to-wow-me-with-your-ux-research-portfolio-2867001aec18?source=search_post---------1,Free,article,4K,ux research,medium,Beaker & Flint
2,Rapid UX Research at Google,https://medium.com/mixed-methods/rapid-ux-research-at-google-3b92dd038e30?source=search_post---------2,Free,article,5.4K,ux research,medium,David Travis
3,Learn UX Research Methods with GIFs,https://uxplanet.org/learn-ux-research-methods-with-gifs-875209a83b12?source=search_post---------3,Free,article,6.8K,ux research,medium,Heidi S. Toussaint
4,How Quantitative UX Research Differs from Data Analytics,https://medium.com/facebook-research/how-quantitative-ux-research-differs-from-data-analytics-1bbf0903768b?source=search_post---------4,Free,article,4.5K,ux research,medium,Mixed Methods
5,Embracing Uncertainty in UX Research,https://medium.com/airbnb-design/embracing-uncertainty-in-ux-research-973a962b2e8e?source=search_post---------5,Free,article,1.1K,ux research,medium,Ksenia Sternina
6,GV’s Guide to UX Research for Startups,https://library.gv.com/gv-guide-to-uxresearch-for-startups-b6d0c8ac81b3?source=search_post---------6,Free,article,3K,ux research,medium,UX Planet
7,UX Research is Boring and Nobody Reads It,https://blog.prototypr.io/ux-research-is-boring-and-nobody-reads-it-668edbfc804a?source=search_post---------7,Free,article,2.9K,ux research,medium,Duyen Mary Nguyen
8,Field Guide to UX Research for Startups,https://library.gv.com/field-guide-to-ux-research-for-startups-8569114c27fb?source=search_post---------8,Free,article,2.5K,ux research,medium,Facebook Research
9,Cracking The UX Researcher Interview,https://blog.prototypr.io/cracking-the-ux-researcher-interview-81a797e86e62?source=search_post---------9,Free,article,1.6K,ux research,medium,Matt Gallivan
