,Title,Link,Price,Resource_Type,Upvotes,Keyword,Source,Source_url
0,,https://www.youtube.com/watch?v=NIkg3Ui7ITY,free,video,"144,240 views",product-design,youtube,
1,What is the role of a Product Designer?,https://www.youtube.com/watch?v=TDvfC6ybhXQ,free,video,"6,422 views",product-design,youtube,
2,"From Intern to Product Design: An Interview with Mitchelle Chibundu, Author and Product Designer",https://www.youtube.com/watch?v=g79IwvIOnOo,free,video,954 views,product-design,youtube,
3,UX Design Vs. Product Design (Are They The SAME Thing?!),https://www.youtube.com/watch?v=vIBYqMrAIx4,free,video,"29,019 views",product-design,youtube,
4,A User Guide to Product Design by Director of UX at Google,https://www.youtube.com/watch?v=8O37aTQqBfw,free,video,"30,562 views",product-design,youtube,
5,OMSB - Naruhodo,https://www.youtube.com/watch?v=WVnrJzeg67U,free,video,"5,441 views",product-design,youtube,
6,,https://www.youtube.com/watch?v=ZqeA_psKn2E,free,video,"161,789 views",product-design,youtube,
7,Everything You Need to Know Before Starting Architecture,https://www.youtube.com/watch?v=JblrN5oNse4,free,video,"128,334 views",product-design,youtube,
8,Incredible modern pork processing factory technology & other amazing farming poultry production,https://www.youtube.com/watch?v=AK23gfjnhvk,free,video,"28,521,156 views",product-design,youtube,
9,,https://www.youtube.com/watch?v=A3ErvVzh8EY,free,video,"1,448,540 views",product-design,youtube,
10,Strategy - Prof. Michael Porter (Harvard Business School),https://www.youtube.com/watch?v=tyUw0h5i9yI,free,video,"262,145 views",product-design,youtube,
11,How To Sketch Like A Product Designer,https://www.youtube.com/watch?v=iVy0qGqmKFU,free,video,"568,200 views",product-design,youtube,
12,Logo & Package Design | FULL PROCESS,https://www.youtube.com/watch?v=M3uBOwKTF0U,free,video,"93,717 views",product-design,youtube,
13,,https://www.youtube.com/watch?v=JNzvLWC2cGQ,free,video,"1,028 views",product-design,youtube,
14,Innovation - Students of Product Design Episode1,https://www.youtube.com/watch?v=CnKeVs-_9zs,free,video,"440,331 views",product-design,youtube,
15,,https://www.youtube.com/watch?v=LC4vVcu-FWY,free,video,"12,707 views",product-design,youtube,
16,Product Design vs Industrial Design. Whats the Difference?,https://www.youtube.com/watch?v=D8rkqPqI0Fc,free,video,"128,486 views",product-design,youtube,
